post_title,post_message,post_status,created_at
What about bottle of water?,"In dry weather, during long journeys, active physical activity or high body temperature, always have on hand a bottle of water.",public,2022-11-03 13:45:41.825793
Post№235.10,Some post 235.10,anon,2022-10-24 10:59:09.278060
Post№235.9,Some post 235.9,public,2022-10-24 10:59:09.278059
Post№235.8,Some post 235.8,public,2022-10-24 10:59:09.278058
Post№235.7,Some post 235.7,public,2022-10-24 10:59:09.278057
Post№235.6,Some post 235.6,anon,2022-10-24 10:59:09.278056
Post№235.5,Some post 235.5,public,2022-10-24 10:59:09.278055
Post№235.4,Some post 235.4,public,2022-10-24 10:59:09.278054
Post№235.3,Some post 235.3,public,2022-10-24 10:59:09.278053
Post№235.2,Some post 235.2,anon,2022-10-24 10:59:09.278052
Post№235.1,Some post 235.1,public,2022-10-24 10:59:09.278051
